College Code,College Name,Branch Code,Branch Name,Year_2017,OC_2017,BC_2017,BCM_2017,MBC_2017,SC_2017,SCA_2017,ST_2017,OCRank_2017,BCRank_2017,BCMRank_2017,MBCRank_2017,SCRank_2017,SCARank_2017,STRank_2017,Year_2018,OC_2018,BC_2018,BCM_2018,MBC_2018,SC_2018,SCA_2018,ST_2018,OCRank_2018,BCRank_2018,BCMRank_2018,MBCRank_2018,SCRank_2018,SCARank_2018,STRank_2018,Year_2019,OC_2019,BC_2019,BCM_2019,MBC_2019,SC_2019,SCA_2019,ST_2019,OCRank_2019,BCRank_2019,BCMRank_2019,MBCRank_2019,SCRank_2019,SCARank_2019,STRank_2019
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,12,2017,198.5,198,197.75,197,191.5,184.5,172,1381,1779,2359,3715,13735,26593,46942,2018,197.25,197,195,195,185.5,178.5,187.75,1269,1676,3701,3655,16408,24548,13306,2019,192.5,190.5,189,188.5,177,155,181.25,1052,1764,2991,3342,10369,26720,7558
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MN,13,2017,197.25,196.5,196.75,195.5,187,193,134905,3053,4290,3923,6450,22220,10928,100000,2018,194,192.25,191.25,191.25,184,158.5,134905,4886,7054,8548,8308,18303,45446,134905,2019,184,180,178.5,176.5,163.25,144.5,134905,5852,8369,9519,10657,20386,35378,134905
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MN,13,2017,197.25,196.5,196.75,195.5,187,193,134905,3053,4290,3923,6450,22220,10928,100000,2018,194,192.25,191.25,191.25,184,158.5,134905,4886,7054,8548,8308,18303,45446,134905,2019,184,180,178.5,176.5,163.25,144.5,134905,5852,8369,9519,10657,20386,35378,134905
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MA,14,2017,196,195.5,194.75,194.25,184,179.75,134905,5533,6365,7644,8736,27425,34524,100000,2018,192.75,190.25,187.75,188,174.25,164.75,134905,6437,9722,13508,12964,29484,39403,134905,2019,183,178.5,181.5,172,168.5,134.5,134905,6508,9439,7378,13971,16586,44133,134905
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",ME,15,2017,199.25,199,198.5,198.25,196.5,196.5,190.75,356,784,1388,1484,4638,4569,15082,2018,198,197.25,195.75,196.25,192.75,190,186.75,725,1381.5,3010,2255,6574,10163,14774,2019,192.5,190.5,189.75,187.5,183.5,172.5,177,1106,1795,2667,3865,6213,13664,10416
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XM,16,2017,193.5,191,191.25,189.25,180,175.75,164.25,9839,14544,14285,18261,33990,40959,58490,2018,187.25,180.25,178.75,174.5,154,132,134905,14091,22809,24400,29160,49871,70333,134905,2019,176,169.75,163.5,158,138,134905,134905,10938,15562,20225,24309,41003,134905,134905
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MI,17,2017,197,196,193.25,195,188.75,191,134905,3539,5491,10542,7075,18965,14740,100000,2018,194,191.75,189.75,191.75,182.5,177,134905,5059,7712,10792,7641,20138,26464,134905,2019,187,183,184.75,179,179,162.5,134905,4162,6331,5392,9176,8937,21097,134905
1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PT,18,2017,195,194.25,190.75,192.5,183.75,180.25,164.5,6975,8422,14980,11962,27743,33747,58378,2018,191.75,190,187,187.25,172.75,175,143.25,7684.5,10511,14356,14084,31050,28643,60046,2019,180.5,178,177,172,167,167.5,134905,8161,9868,10396,13830,17585,17069,134905
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AP,19,2017,193.25,192,191,190,178.5,173.25,134905,10285,12723,14584,17002,36639,44822,134905,2018,188.5,184.75,184.5,179,162,118.5,134905,12530,17256,17457,24068,42076,81711,134905,2019,174,166.5,168,155.5,139,113.5,134905,12328,17755,16763,26459,39955,65694,134905
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CR,20,2017,192.75,192,190.25,190.25,178,170.75,134905,11468,12988,16166,16277,37493,48655,134905,2018,188,185.75,178.5,180.25,164.25,119.25,134905,13019,15866,24776,22558,39768,81149,134905,2019,168,162.5,156,154,144.5,113.5,134905,17005,20915,26057,27630,35267,65628,134905
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CH,21,2017,198.5,197.75,196.75,197,193.5,195.25,185.25,1281,2187,3792,3456,9897,6618,25398,2018,196.5,196,195.5,193.25,190.25,188.25,171.5,2035,2618,3191,5725,9683,12852,32446,2019,190,188.5,187.5,184,176,174,134,2170,3260,3719,5743,11088,12592,44461
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CL,22,2017,197.25,197,196.5,195.5,188,183.75,176,2961,3508,4380,6380,20360,27620,40332,2018,194.75,193.75,193,191,183,178.75,125,4074,5335,6000,8922,19277,24364,76408,2019,187,185,182,179,163.5,138.5,134905,3963,5259,7005,8971,20375,40247,134905
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",FS,23,2017,196,195.25,194.25,193.5,186.25,175.5,134905,5442,6885,8714,9852,23578,41058,134905,2018,192.75,191.75,190.5,190,176,176.25,134905,6470,7831,9547,9949,27599,27349,134905,2019,186,183.5,176,173.5,170,139.5,147.25,4506,6076,11155,12672,15320,39631,32957
